"Plugin","Authors","Installs"
"Essence Running","Aaron","8,586"
"Better Discord Loot Logger","RinZ","8,578"
"ToB QoL Improvements","WLoumakis","8,332"
"TOB HM Timer","Loze-Put","8,290"
"Lance Enhance","Brooklyn","8,279"
"Animation Transmog","ArtimosPenguidor","8,146"
"XP Drop Extended","Keywok","8,143"
"Lootbag Utilities","LootBagger","7,971"
"Hide Widgets","PresNL","7,938"
"Last Man Standing","Patrick","7,906"
"Fullscreen","dekvall","7,903"
"Group Ironmen Tracker","Christopher Brown","7,858"
"Resting","ScreteMonge","7,826"
"Arceuus Timers","Mantic","7,808"
"Unpotted Reminder","Ankou","7,806"
"Smart Metronome","Brooklyn","7,734"
"Visual Sounds","Box Of Hats","7,714"
"Dynamic Entity Hider","Jbleezy","7,669"
"Random Event Hider","YvesW","7,631"
"Better Overload","Aurelify","7,557"
"Item Drop Sound Notification","Spongie","7,449"
"Track Healers","mmdts","7,444"
"CostumeRoomHighlighter","michaelperino","7,421"
"Flipper","Kyle Richardson","7,387"
"Specimen Cleaning","acdvs","7,337"
"Dry Meter for Raids","RydawgRS","7,332"
"Instant Idle Notify","Patrick","7,250"
"Butler Info","NickMckloski","7,243"
"Emoji Madness","dekvall","7,227"
"Agility Pyramid Slider Block Timer","Wesley","7,154"
"Life Saver","Keywok","7,141"
"More Fireworks","Marbleturtle","7,111"
"Cat V Rat","Gunner Stone","7,101"
"Home Enforcer","Enriath","6,987"
"BA Plus","Furret","6,900"
"Sandstone Buckets Counter","wookkeey","6,826"
"Consumable Cooldowns","Copy Pasta","6,807"
"Brush Markers","Bram91","6,789"
"Normal Ancient Teleports","Idyl","6,743"
"Animated Icons","winterdaze","6,742"
"Don't eat it!","Enriath","6,704"
"Impling Finder","Hablapatabla","6,662"
"Ground Item Sounds","Pharros","6,659"
"Equipment Screenshot","Truth Forger","6,640"
"Vengeance Tracker","MrNice98","6,609"
"Tree Count","infinitay","6,571"
"Max Hit Calculator","j-cob44","6,560"
"ToB Light Up","Brooklyn","6,492"
"Boss Health Indicators","Rugg0064","6,436"
"Shift Remapping","WhatATopic","6,410"
"Cox Analytics","Buchus","6,383"
"Combat Information","KMPLX","6,308"
"Rlweather","Bogstandard","6,161"
"Protect Item Notify","Mathew Chapman","6,050"
"Dude, Where's My Stuff?","Thource","6,045"
"Imbued Heart Notifier","JuliusAF","5,876"
"Empty Forestry Basket","DominickCobb","5,874"
"Skull Notifier","Trevor","5,870"
"Global F Keys","Sir Girion","5,840"
"Volcanic Mine pre-reset notifier","Kitsch#9214","5,792"
"World Cycle","1Defence","5,756"
"Loading Lines","De0","5,696"
"World country flags","melky","5,688"
"Death Charge Reminder","InfernoStats","5,681"
"Discord Level Notifications","Takamok","5,598"
"Runecrafting Lap Tracker","JwowSquared","5,583"
"Tileman Mode","ConorLeckey","5,558"
"Inferno Tracker","evaan","5,551"
"H.A.M Store Rooms","Geel","5,544"
"Fake Iron Icon","ThatGamerBlue","5,525"
"Mouse Click Counter","Robert Espinoza","5,512"
"Combat Level Calculator","Herbs","5,482"
"Dink","pajlads","5,459"
"Seaweed Spore Notifier","rbbi","5,435"
"Stack Value","Sheeva","5,418"
"Line of Sight","krazune","5,400"
"Client Anti Drag","1Defence","5,395"
"Nyloer","EIKOOT","5,369"
"In Game Timer","Idyl","5,348"
"Aqp Finder","Elixir140","5,186"
"Wintertodt Solo Helper","Aqua UIM","5,158"
"Contextual Cursor","Enriath","5,143"
"Uncharged Glory Warning","Nightfirecat","5,117"
"Region Locker","slaytostay","5,110"
"Spirit Tree Map","mjhylkema","5,067"
"Pickpocket Guardian","Drufix/Hiro/Orrezon","5,047"
"POH Storage","DekuScrub","5,007"
"Interactable Hints","DekuScrub","4,982"
"Collection Log Master","ImTedious","4,855"
"Bank Diff","dekvall","4,837"
"Inventory Summary","Enriath","4,834"
"Chinbompa","Adam","4,825"
"Clue Juggling Timer","geheur","4,811"
"Ultimate Volcanic Mine","CyanWarrior4","4,757"
"Cox Scav Calculator","Bwana Ian","4,742"
"Group Iron Panel","toasty-toast","4,719"
"Skilling Notifications","Jodelahithit","4,674"
"ToA Missing Pickaxe Indicator","Sorgrum","4,643"
"Not Enough Runes","Hannah_GBS & LlemonDuck","4,633"
"Random Event Analytics","z-index","4,541"
"EmojiScape","Hannah_GBS","4,533"
"Inventory Total","Eric Versteeg","4,532"
"Party Health Status","1Defence","4,451"
"Entrana","Patrick","4,418"
"Dynamic Inventory Tags","Amro Thabet","4,372"
"Profit Calculator","LlemonDuck","4,352"
"Godbook","InfernoStats","4,337"
"Stars to Clipboard","Cyborger1","4,222"
"Recently Banked Items","Patrick","4,200"
"RL Tray Notifications","Trevor","4,147"
"Metronome Infobox","kentor","4,107"
"Barb assault PBs","SkylerMiner","4,102"
"TOA Life no More","PaJau","4,084"
"Text to speech","JesseVii","4,072"
"Model Exporter","Bram91","4,035"
"Crop Circle Tracker","mattjrumble","4,031"
"Aerial Fishing","Patrick","4,003"
"Mining Special Effect Tracker","AdnapPanda","3,971"
"Death Party","Dang It","3,965"
"Lazy Farming","Speaax","3,950"
"Custom RSN Hider","ifeq","3,940"
"Keybinds overlay","Kuldar Vakker","3,926"
"Mini Bars","Skeldoor","3,926"
"Default Tab","Damen","3,916"
"Tick Timestamp","Skretzo","3,893"
"Exchange Logger","istid","3,875"
"Iron Value","hawkins","3,872"
"Low Detail Chambers","Unholypanda","3,869"
"Nievive","claudiodekker","3,859"
"Afk Marks Canafis","powerus117","3,856"
"Inventory Value Overlay","WikiWorm (Brandon Ripley)","3,796"
"ToG Indicator","LlemonDuck","3,787"
"Nature Rune Chest","Travis Earley","3,738"
"Skills Generator","MakingStan","3,725"
"Clue Hunter Finder","Bromkommer","3,719"
"Hydrate Reminder","jmakhack","3,716"
"Party Ready Check","Scainburger","3,692"
"Loot Splitter","LanaDelSlay","3,671"
"ToA Custom Presets","Denchy","3,659"
"PvMTickCounter","Chrisioman","3,618"
"Great Guardian Hider","Horseforlunch","3,571"
"Tray Indicators","DMAD777","3,557"
"Phoenix Necklace Jingle","Nope1252","3,553"
"Camera Keys","neilrush","3,527"
"Wilderness Slayer","BrastaSauce","3,510"
"Blindfold","StevenWaterman","3,453"
"Brewing","InfernoStats","3,443"
"VM Gasper","xncz8h","3,411"
"Green Screen","Trevor","3,390"
"Raid Shamer","Botanophobia","3,379"
"XP Grapher","Olm Alone","3,350"
"Better Skill Tooltips","Enriath","3,346"
"Wilderness Boss Peek","Patrick","3,313"
"Combat Logout Timer","LuxOG","3,264"
"Coffin Counter","Enriath","3,263"
"ToB Timer Infoboxes","winterdaze","3,243"
"World Hider","dekvall","3,242"
"ToB Notice Board","Brooklyn","3,238"
"Identificator","Skretzo","3,191"
"Amulet of Chemistry Alerter","Josmoo","3,174"
"Miasma Tiles","De0","3,127"
"Health Notifications","Thomas Anderson","3,111"
"BA Role Randomizer","ransty","3,096"
"Temple Trekking Points","andmcadams","3,095"
"StopMisclickingTiles","WhatATopic","3,075"
"Motherlode Profit Tracker","Smeety","3,059"
"Twitch Live Loadout","Pepijn Verburg","3,030"
"Lizardman Shaman Minion Alert","baloooouu","2,997"
"Blast Furnace Trainer","UIM Herb10HP","2,953"
"GIMP","Vijuhas","2,949"
"DPS Helper","LH","2,925"
"No Bad Alchs","CreativeTechGuy","2,881"
"Imbued Fart","Himon","2,878"
"Temple OSRS","SMaloney2017","2,875"
"Roof Toggle","DegeneReaper","2,873"
"Master Scroll Book","Enriath","2,855"
"Pre Eoc Xp Drops","invu","2,852"
"Slash Swapper","Zom","2,836"
"Play Time","andham97","2,835"
"OSRSParaTodos","Bwana Ian","2,803"
"Line Markers","Skretzo","2,770"
"Sound Swapper","Pete,Damen","2,760"
"Dryness Calculator","Jallah123","2,746"
"NPC Overhead Dialogue","Stevester118","2,743"
"Teleport Logger","leejt","2,737"
"Remaining Casts","Salverrs","2,733"
"Default Minimap Zoom","YvesW","2,711"
"Plugin Presets","antero111","2,702"
"Client Resizer","YvesW","2,691"
"Notification Messages","Brooklyn","2,659"
"GP Per Hour","Moshe Ben-Zacharia","2,655"
"Raid Player Names Logger","SoloWanna","2,647"
"CoX Auto splitter","sky","2,637"
"Inferno AutoSplitter","Molgoatkirby & Naabe","2,613"
"Level Up Quest Requirements","Hoffi Coffi","2,604"
"Vengeance Helper","Marcin","2,595"
"Alch Blocker","robrichardson13","2,594"
"Task Checker","andmcadams","2,588"
"Examine Tooltip","Cyborger1","2,560"
"GE Filters","Salverrs","2,557"
"Party Hotkeys","1Defence","2,537"
"World Location","Xrio","2,526"
"Wiki search shortcuts","IronCory","2,501"
"Npc Dialog Log","neilrush","2,482"
"Custom Drop Sounds","daanbom","2,475"
"Max Skill Trim","Nerdpuff","2,464"
"Jungle Japes Indicator","TheKlodster  ","2,460"
"Extended Hitsplats","Ferrariic","2,427"
"Clan Event Attendance","JoRouss","2,400"
"Left Click Only","dekvall","2,376"
"More Bank Fillers","UnExploration","2,374"
"Maple XP Bar","sirhitech","2,359"
"Toa Supplies","Krill","2,353"
"Target Health Notifier","Callum Anderson","2,343"
"Dorgesh-Kaan Lights Plugin","andmcadams","2,342"
"Tree Despawn Timer","CreativeTechGuy","2,337"
"Boss HP Reorder","TheStonedTurtle","2,329"
"One Click Tiles","Nath","2,322"
"Prestige","Conor Kosidowski","2,288"
"Goal Tracker","Toofifty","2,265"
"ToB Gear Checker","ArtsicleOfficial","2,260"
"Nex Splits","Buchus","2,226"
"Glory Counter","JorVa","2,213"
"Easy Unnote","mad-s","2,170"
"Corner Tile Indicators","geheur","2,151"
"Nylo Stats","Scowled","2,151"
"Raids Clipboard","Maurits825","2,150"
"Npc Spawns","Allen Kinzalow","2,142"
"Crosshair Cursor","Wilof","2,136"
"Custom Item Tags","agustin","2,116"
"Universal Discord Notifications","MidgetJake","2,104"
"Toggle Chat","Buchus","2,081"
"Video Recorder","Skretzo","2,043"
"Chat Logger","Hexagon","2,041"
"Switching Trainer","ArtsicleOfficial","2,039"
"Oof Sound","MakingStan","2,027"
"PartyPoints","OmbudRov","2,024"
"Another Bronzeman Mode","CodePanter","1,985"
"Music Replacer","alowaniak","1,966"
"F2P Star Assist","Jannyboy11","1,964"
"Movement-based AFK Alerter","Aeimo","1,950"
"Vial Smasher","InfernoStats","1,948"
"Bone Running","Arrowsend","1,943"
"God Wars Protection Overlay","UnExploration","1,918"
"Prayer volume control","ruttie3","1,901"
"Status Socket","DStat","1,897"
"Chat Sounds","Pharros","1,891"
"Boss Name Replacer","MrNice98","1,857"
"Group tileman addon","ConorLeckey, Notloc, Flexz","1,834"
"Push Notifications","dekvall","1,778"
"8ball Plugin","DuhonTheGuy","1,761"
"Raid Speed Run Tracker","hi owo","1,746"
"Trailblazer Audio Announcement","Jarbo52","1,726"
"Sprite Markers","ChaosXstreaM","1,716"
"Force Recolor","Alexsuperfly","1,705"
"Collapsible Modern Chat","UNDEAD-B0T","1,702"
"AFK Spot Calculator","branisk","1,698"
"Clan Chat Warnings","MarbleTurtle","1,687"
"ImaDrum Money","Ew Its Mike","1,685"
"Orb Hider","wizguin","1,682"
"Inventory Count","robrichardson13","1,678"
"KeePassXC","Abex","1,678"
"ToA party gear checker","Need Femboy","1,676"
"Chop Chop Stop","call-me-maple","1,663"
"Clan Member List Sorting","Jodelahithit","1,661"
"Discord Notifier","Nodeak,Medicus","1,647"
"Slayer Tag Highlight","Mafham","1,645"
"Grimy Herb Animation","TrueNosus","1,644"
"Automatic Low Detail","bepzi","1,620"
"AFK Threshold","Velite12","1,615"
"Duck Duck Goose","skeldoor","1,609"
"Two step zoom","sky","1,600"
"Citizens","Magnaboy","1,587"
"VoiceScape","Furkan","1,578"
"Cannon Be Gone","Bram91","1,560"
"Afk Hell-rat Behemoth","FirstTwoWeeks","1,554"
"Xp To Level Notification","Robin Davidsson","1,547"
"Friends and Clan Viewer","molo-pl","1,534"
"SalveAmuletChecker","NickSpaghetti","1,534"
"Hit Sounds","Ferrariic","1,530"
"Watchdog Alerts","adamk33n3r","1,526"
"Dry Streak","Risky Asset","1,524"
"Live Location Sharing","Realm 0","1,481"
"Ectofuntus Info","Cyborger1","1,477"
"Account Chat Filter","Mr. Sableye","1,468"
"WildernessWarnings","CalumMagee","1,460"
"Cool 2h","Skeldoor","1,400"
"World Heatmap","I Say","1,400"
"Skills Organizer","robrichardson13","1,376"
"Emblem Trader Skull Timer","Teekiz","1,370"
"Who's Gonna Poop","Nic Dipples","1,364"
"Purchase Progress","BrastaSauce","1,363"
"Life-Saving Jewellery","molo-pl","1,356"
"ScoutingStats","OmbudRov,OlmletHunter","1,338"
"PC Rewards","Marvin B","1,326"
"Bronzeman Mode","dekvall","1,324"
"Specimen Cleaning Extended","lV Vl","1,324"
"Wellness Notifications","ffalor","1,312"
"nex-kc-helper","IronPita, Marco648135","1,288"
"GE Calc","cman8396,LargeChongus","1,280"
"Gem Tracker","GuNeRkId","1,267"
"Custom Item Hovers","Geel","1,263"
"Fairy Ring Butterflies","Jmmuir","1,257"
"Smart Chat Input Color","MarbleTurtle","1,253"
"GIMP Tracker","Rachnus","1,249"
"Star Lore","Enriath","1,236"
"Lingering Click Tooltips","ryanxie0","1,218"
"Storage","TicTac7x","1,213"
"Clan Activity Tracker","PhobosDeimos","1,204"
"ABC Alchemy","Vartan","1,203"
"Time Played","muffyn","1,181"
"Total Cost","Fiffers","1,176"
"Group Iron Man","Spedwards","1,170"
"Subtle Virtual Levels","Enriath","1,163"
"Unregistered Hypercam 2","cloud Aspect","1,146"
"Unranked KC Tracker","Erishion Games LLC","1,139"
"Aerial Tick Colors","KitsuneWife","1,106"
"Bank Item Stats Toggle","Boredska","1,097"
"Chat Transcripts","MarbleTurtle","1,086"
"Snailman Mode","Idyl","1,081"
"Audible 2-Ticking","Dylan","1,075"
"Xp Goalz","Eric V","1,071"
"OSRS Player Count","Protje","1,070"
"Offline Chat Icon","Bailey Townsend","1,064"
"Party Play","ProjectileRage","1,064"
"Crate Limiter","Enriath","1,063"
"Creator's Kit","ScreteMonge","1,057"
"Motivation","sqlskid","1,050"
"Autocasting","Vivascape, JC A","1,037"
"Friends Exporter","MarbleTurtle","1,036"
"Clan Chat Webhooks","Costcutters","1,035"
"Jar Generator","Jannyboy11","1,034"
"Discord Group Bank Notifications","barthogenes","1,032"
"PM Highlight","wtommyw","1,002"
"Guest Indicators","Patrick","999"
"OSRSKillboard","OSRSKillboard","986"
"GIM Bank Discord","Boredska","980"
"Zero remover","GeChallengeM","979"
"NPC Accessibility Tagger","R-Y-M-R","978"
"Notification Panel","Kogasa","976"
"Quest Splits","jonas-fo","969"
"NM Auto Splitter","framboid","966"
"Random Screenshot","neeerp","966"
"Dialogue Assistant","Salverrs","961"
"Loot Console Logger","EmerycP","960"
"Taskman","TaskPlease","957"
"Camera Fun","lettucegoblin","928"
"Stardust/HR Tracker","kevindarbydev","926"
"Chat Name Colors","BeagleBreath","921"
"Random Hopper","Rugg0064","919"
"Ignore List Alerter","Zom","901"
"Bank Value Overlay","Blended420","900"
"League Chat Broadcasts","Memebeams","898"
"translation-plugin","PlayerCoder1","896"
"Worn Equip Viewer","iGundamStyle,JZomDev","895"
"Boaty Hype Man","Devdeve","890"
"Clanmate Export","Bailey Townsend","889"
"Discord Notifications/Split Tracker","SkyHawkGaming","889"
"Recently Killed Highlight","DrJam","882"
"Altered Stats","Jason","874"
"Discord Screenshot","Alqon","872"
"Star Caller","Cute Rock","871"
"Charge Calculator","Fisu","860"
"No Adviser","daylend","859"
"Boss Kicker","Zom","855"
"World Finder","Conrad","854"
"Playtime","Adam","848"
"Custom death sound","ruttie3","845"
"Temple Trekking Swamp Helper","PlayerCoder1","836"
"Nex Sound Replacer","HSJ","833"
"Splitter","PhantomBoat","832"
"Dice","Bogstandard","822"
"House Advertisement Plus","Salverrs","820"
"Step Counter","cweeks12","802"
"Steelseries Gamesense","Gmoley","793"
"The Guns' Gains","dekvall","792"
"F2P Wiki","Freckled Dad","787"
"XP Drop Notify","Patrick","781"
"Item Retrieval Service Warning","Cute Rock","779"
"Do Not Kick","MarbleTurtle","778"
"System Tray Inventory Count Plugin","delps1001","773"
"Invalid Movement","Skretzo","766"
"Item Filler","Adam","765"
"I've Got Wood!","BigG","759"
"Inventory Notifier","dandylyon","757"
"Old Wise Man Chat","Cerisk","753"
"Subtle Agility Shortcuts","flowerworks","752"
"Sextant Locator","krazune","751"
"Zebak roar chat","rutger-speksnijder","748"
"Essence pouch health","Truth Forger","742"
"Clan Fight Performance Tracker","di-brian","733"
"QSR Auto Splitter","muffyn","731"
